Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-next-app-c.vercel.app/about,https://render-strategy-demo-csr-next-app-c.vercel.app/about/,2025-06-10T09:47:49.488Z,0.92,100,3.32,69,1.06,100,3.32,93,4,100,0,100
2,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-next-app-c.vercel.app/about,https://render-strategy-demo-csr-next-app-c.vercel.app/about/,2025-06-10T09:48:01.479Z,0.92,100,2.85,82,2.23,99,2.85,97,9,100,0,100
3,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-next-app-c.vercel.app/about,https://render-strategy-demo-csr-next-app-c.vercel.app/about/,2025-06-10T09:48:14.305Z,0.92,100,3,78,2.24,99,3,96,10,100,0,100
4,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-next-app-c.vercel.app/about,https://render-strategy-demo-csr-next-app-c.vercel.app/about/,2025-06-10T09:48:25.770Z,0.92,100,2.92,80,0.94,100,2.92,96,7,100,0,100
5,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-next-app-c.vercel.app/about,https://render-strategy-demo-csr-next-app-c.vercel.app/about/,2025-06-10T09:48:37.414Z,0.92,100,2.95,79,0.93,100,2.95,96,0,100,0,100
6,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-next-app-c.vercel.app/about,https://render-strategy-demo-csr-next-app-c.vercel.app/about/,2025-06-10T09:48:48.181Z,0.92,100,2.9,81,0.92,100,2.9,96,0,100,0,100
7,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-next-app-c.vercel.app/about,https://render-strategy-demo-csr-next-app-c.vercel.app/about/,2025-06-10T09:48:59.229Z,0.92,100,2.84,82,0.92,100,2.84,97,11,100,0,100
8,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-next-app-c.vercel.app/about,https://render-strategy-demo-csr-next-app-c.vercel.app/about/,2025-06-10T09:49:10.492Z,0.93,100,2.85,82,0.93,100,2.85,97,4,100,0,100
9,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-next-app-c.vercel.app/about,https://render-strategy-demo-csr-next-app-c.vercel.app/about/,2025-06-10T09:49:22.751Z,0.92,100,2.82,82,0.92,100,2.82,97,35,100,0,100
10,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-next-app-c.vercel.app/about,https://render-strategy-demo-csr-next-app-c.vercel.app/about/,2025-06-10T09:49:34.661Z,0.92,100,2.82,82,2.22,99,2.82,97,2,100,0,100
