Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/1,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/1/,2025-06-10T10:14:50.058Z,0.79,100,3.54,63,1.92,100,3.54,92,8,100,0.299,40
2,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/1,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/1/,2025-06-10T10:15:01.551Z,0.79,100,3.67,59,1.24,100,3.67,91,10,100,0.299,40
3,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/1,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/1/,2025-06-10T10:15:12.947Z,0.79,100,3.52,63,1.15,100,3.52,92,10,100,0.299,40
4,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/1,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/1/,2025-06-10T10:15:24.662Z,0.79,100,3.58,61,1.19,100,3.58,91,48,100,0.299,40
5,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/1,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/1/,2025-06-10T10:15:36.036Z,0.79,100,3.37,68,1.11,100,3.37,93,11,100,0.299,40
6,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/1,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/1/,2025-06-10T10:15:47.472Z,0.78,100,3.37,67,1.11,100,3.37,93,26,100,0.299,40
7,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/1,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/1/,2025-06-10T10:15:59.586Z,0.79,100,3.52,63,1.16,100,3.52,92,8,100,0.299,40
8,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/1,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/1/,2025-06-10T10:16:10.802Z,0.79,100,3.56,62,1.09,100,3.56,92,6,100,0.299,40
9,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/1,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/1/,2025-06-10T10:16:22.454Z,0.78,100,3.53,63,1.2,100,3.53,92,12,100,0.299,40
10,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/1,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/1/,2025-06-10T10:16:33.740Z,0.79,100,3.52,63,1.2,100,3.52,92,11,100,0.299,40
