Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-next-app-c.vercel.app/blog,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/,2025-06-10T09:09:02.582Z,1.27,98,3.31,69,4.04,80,3.32,93,44,100,0,100
2,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-next-app-c.vercel.app/blog,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/,2025-06-10T09:09:16.481Z,0.79,100,3.38,67,1.22,100,3.38,93,42,100,0.025,100
3,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-next-app-c.vercel.app/blog,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/,2025-06-10T09:09:32.070Z,0.79,100,3.68,58,1.45,100,3.68,90,65,99,0.025,100
4,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-next-app-c.vercel.app/blog,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/,2025-06-10T09:09:45.210Z,0.79,100,3.26,71,1.18,100,3.27,94,68,99,0.025,100
5,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-next-app-c.vercel.app/blog,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/,2025-06-10T09:09:59.305Z,0.78,100,3.38,67,1.2,100,3.38,93,72,99,0.025,100
6,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-next-app-c.vercel.app/blog,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/,2025-06-10T09:10:12.718Z,0.79,100,3.51,63,1.2,100,3.51,92,41,100,0.025,100
7,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-next-app-c.vercel.app/blog,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/,2025-06-10T09:10:27.596Z,0.79,100,3.68,58,1.45,100,3.68,90,53,100,0.025,100
8,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-next-app-c.vercel.app/blog,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/,2025-06-10T09:10:40.836Z,0.79,100,3.39,67,1.18,100,3.39,93,44,100,0.025,100
9,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-next-app-c.vercel.app/blog,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/,2025-06-10T09:10:54.277Z,0.78,100,3.37,67,1.23,100,3.37,93,42,100,0.025,100
10,"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-next-app-c.vercel.app/blog,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/,2025-06-10T09:11:09.701Z,0.79,100,3.45,65,1.43,100,3.45,92,64,100,0.025,100
