Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/about,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/about,2025-06-10T09:49:47.418Z,2.59,64,2.59,88,4.46,73,2.59,98,0,100,0.002,100
2,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/about,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/about,2025-06-10T09:50:00.495Z,2.58,64,2.58,88,4.47,73,2.58,98,0,100,0.002,100
3,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/about,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/about,2025-06-10T09:50:13.293Z,2.59,64,2.59,88,4.43,74,2.59,98,0,100,0.002,100
4,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/about,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/about,2025-06-10T09:50:26.864Z,2.58,64,2.58,88,4.45,73,2.58,98,0,100,0.002,100
5,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/about,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/about,2025-06-10T09:50:39.585Z,2.58,64,2.58,88,4.45,73,2.58,98,0,100,0.002,100
6,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/about,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/about,2025-06-10T09:50:52.464Z,2.58,64,2.58,88,4.42,74,2.58,98,0,100,0.002,100
7,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/about,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/about,2025-06-10T09:51:05.465Z,2.59,64,2.59,88,4.42,74,2.59,98,0,100,0.002,100
8,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/about,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/about,2025-06-10T09:51:18.594Z,2.58,64,2.58,88,4.38,74,2.58,98,0,100,0.002,100
9,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/about,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/about,2025-06-10T09:51:31.836Z,2.63,63,2.63,87,4.48,73,2.63,98,0,100,0.002,100
10,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/about,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/about,2025-06-10T09:51:44.592Z,2.62,63,2.62,87,4.47,73,2.62,98,0,100,0.002,100
