Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,2025-06-10T09:11:28.516Z,2.61,63,2.68,86,4.52,72,2.69,97,0,100,0.029,100
2,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,2025-06-10T09:11:46.921Z,2.58,64,2.66,86,4.48,73,2.67,97,0,100,0.029,100
3,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,2025-06-10T09:12:05.213Z,2.58,64,2.66,86,4.44,73,2.66,97,0,100,0.029,100
4,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,2025-06-10T09:12:22.938Z,1.67,93,2.75,84,2.69,96,2.75,97,199,90,0.029,100
5,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,2025-06-10T09:12:42.681Z,2.58,64,2.66,86,4.42,74,2.66,97,0,100,0.029,100
6,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,2025-06-10T09:13:01.193Z,2.59,64,2.66,86,4.44,73,2.67,97,0,100,0.029,100
7,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,2025-06-10T09:13:20.555Z,2.58,64,2.65,86,4.44,73,2.66,97,0,100,0.029,100
8,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,2025-06-10T09:13:40.400Z,2.64,62,2.64,87,4.53,72,2.64,98,0,100,0.029,100
9,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,2025-06-10T09:13:58.859Z,2.62,63,2.69,86,4.47,73,2.7,97,0,100,0.029,100
10,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,2025-06-10T09:14:17.323Z,2.58,64,2.66,86,4.43,73,2.66,97,0,100,0.029,100
