Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-sveltekit.vercel.app/about,https://render-strategy-demo-csr-sveltekit.vercel.app/about,2025-06-10T09:51:55.331Z,2.64,62,3.07,76,4.28,76,3.07,95,0,100,0,100
2,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-sveltekit.vercel.app/about,https://render-strategy-demo-csr-sveltekit.vercel.app/about,2025-06-10T09:52:07.178Z,1.68,92,3.05,77,1.89,100,3.05,95,0,100,0.101,89
3,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-sveltekit.vercel.app/about,https://render-strategy-demo-csr-sveltekit.vercel.app/about,2025-06-10T09:52:20.004Z,2.61,63,3.16,73,4.27,76,3.16,95,0,100,0,100
4,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-sveltekit.vercel.app/about,https://render-strategy-demo-csr-sveltekit.vercel.app/about,2025-06-10T09:52:32.606Z,2.61,63,3.07,76,4.32,75,3.07,95,0,100,0,100
5,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-sveltekit.vercel.app/about,https://render-strategy-demo-csr-sveltekit.vercel.app/about,2025-06-10T09:52:45.715Z,2.62,63,3.08,76,4.27,76,3.08,95,0,100,0,100
6,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-sveltekit.vercel.app/about,https://render-strategy-demo-csr-sveltekit.vercel.app/about,2025-06-10T09:52:58.909Z,2.59,64,3.14,74,4.3,76,3.14,95,0,100,0,100
7,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-sveltekit.vercel.app/about,https://render-strategy-demo-csr-sveltekit.vercel.app/about,2025-06-10T09:53:11.612Z,2.58,64,3.15,74,4.25,77,3.15,95,0,100,0,100
8,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-sveltekit.vercel.app/about,https://render-strategy-demo-csr-sveltekit.vercel.app/about,2025-06-10T09:53:24.440Z,2.59,64,2.94,79,4.26,76,2.94,96,0,100,0,100
9,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-sveltekit.vercel.app/about,https://render-strategy-demo-csr-sveltekit.vercel.app/about,2025-06-10T09:53:37.857Z,2.58,64,2.98,78,4.28,76,2.98,96,0,100,0,100
10,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-sveltekit.vercel.app/about,https://render-strategy-demo-csr-sveltekit.vercel.app/about,2025-06-10T09:53:51.888Z,2.59,64,2.98,78,4.25,77,2.98,96,0,100,0,100
