Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-sveltekit.vercel.app/blog/1,https://render-strategy-demo-csr-sveltekit.vercel.app/blog/1,2025-06-10T10:18:51.840Z,1.65,93,3.39,67,2.87,95,3.39,93,0,100,0.001,100
2,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-sveltekit.vercel.app/blog/1,https://render-strategy-demo-csr-sveltekit.vercel.app/blog/1,2025-06-10T10:19:04.638Z,2.58,64,2.88,81,4.29,76,2.88,96,0,100,0,100
3,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-sveltekit.vercel.app/blog/1,https://render-strategy-demo-csr-sveltekit.vercel.app/blog/1,2025-06-10T10:19:17.266Z,2.58,64,2.88,81,4.29,76,2.88,96,0,100,0,100
4,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-sveltekit.vercel.app/blog/1,https://render-strategy-demo-csr-sveltekit.vercel.app/blog/1,2025-06-10T10:19:30.338Z,2.58,64,2.88,81,4.26,76,2.88,96,0,100,0,100
5,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-sveltekit.vercel.app/blog/1,https://render-strategy-demo-csr-sveltekit.vercel.app/blog/1,2025-06-10T10:19:43.150Z,2.58,64,2.88,81,4.27,76,2.88,96,0,100,0,100
6,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-sveltekit.vercel.app/blog/1,https://render-strategy-demo-csr-sveltekit.vercel.app/blog/1,2025-06-10T10:19:56.741Z,2.59,64,2.89,81,4.27,76,2.89,96,0,100,0,100
7,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-sveltekit.vercel.app/blog/1,https://render-strategy-demo-csr-sveltekit.vercel.app/blog/1,2025-06-10T10:20:09.557Z,2.58,64,2.88,81,4.26,76,2.88,96,0,100,0,100
8,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-sveltekit.vercel.app/blog/1,https://render-strategy-demo-csr-sveltekit.vercel.app/blog/1,2025-06-10T10:20:22.433Z,2.59,64,2.89,81,4.27,76,2.89,96,0,100,0,100
9,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-sveltekit.vercel.app/blog/1,https://render-strategy-demo-csr-sveltekit.vercel.app/blog/1,2025-06-10T10:20:35.304Z,2.58,64,2.88,81,4.27,76,2.88,96,0,100,0,100
10,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-sveltekit.vercel.app/blog/1,https://render-strategy-demo-csr-sveltekit.vercel.app/blog/1,2025-06-10T10:20:48.187Z,2.6,64,2.9,80,4.26,76,2.9,96,0,100,0,100
