Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,2025-06-10T09:14:33.422Z,2.61,63,2.76,84,4.29,76,2.76,97,0,100,0,100
2,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,2025-06-10T09:14:52.317Z,2.59,64,2.74,84,4.3,76,2.74,97,0,100,0,100
3,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,2025-06-10T09:15:10.803Z,2.59,64,3.01,78,4.3,76,3.01,96,0,100,0,100
4,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,2025-06-10T09:15:28.863Z,2.58,64,2.73,85,4.27,76,2.73,97,0,100,0,100
5,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,2025-06-10T09:15:46.931Z,2.58,64,2.73,85,4.27,76,2.73,97,0,100,0,100
6,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,2025-06-10T09:16:05.216Z,2.58,64,2.73,85,4.23,77,2.73,97,0,100,0,100
7,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,2025-06-10T09:16:23.415Z,2.58,64,2.73,85,4.25,77,2.73,97,0,100,0,100
8,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,2025-06-10T09:16:41.009Z,2.58,64,2.73,85,4.25,77,2.73,97,0,100,0,100
9,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,2025-06-10T09:16:58.984Z,2.59,64,2.74,84,4.24,77,2.74,97,0,100,0,100
10,"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,2025-06-10T09:17:17.014Z,2.72,59,2.87,81,4.31,76,2.87,96,0,100,0,100
