Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-isr.vercel.app/about,https://render-strategy-demo-next-app-isr.vercel.app/about,2025-06-10T10:05:48.442Z,0.93,100,2.86,81,2.36,98,2.86,96,20,100,0,100
2,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-isr.vercel.app/about,https://render-strategy-demo-next-app-isr.vercel.app/about,2025-06-10T10:06:00.047Z,0.93,100,2.88,81,0.93,100,2.88,96,16,100,0,100
3,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-isr.vercel.app/about,https://render-strategy-demo-next-app-isr.vercel.app/about,2025-06-10T10:06:11.995Z,0.93,100,2.86,82,2.2,99,2.86,96,15,100,0,100
4,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-isr.vercel.app/about,https://render-strategy-demo-next-app-isr.vercel.app/about,2025-06-10T10:06:23.881Z,0.92,100,2.88,81,0.92,100,2.88,96,23,100,0,100
5,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-isr.vercel.app/about,https://render-strategy-demo-next-app-isr.vercel.app/about,2025-06-10T10:06:36.708Z,0.93,100,2.81,83,2.25,99,2.81,97,28,100,0,100
6,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-isr.vercel.app/about,https://render-strategy-demo-next-app-isr.vercel.app/about,2025-06-10T10:06:48.602Z,0.93,100,2.86,81,2.19,99,2.86,96,8,100,0,100
7,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-isr.vercel.app/about,https://render-strategy-demo-next-app-isr.vercel.app/about,2025-06-10T10:07:00.551Z,0.93,100,2.88,81,0.93,100,2.88,96,57,100,0,100
8,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-isr.vercel.app/about,https://render-strategy-demo-next-app-isr.vercel.app/about,2025-06-10T10:07:11.898Z,0.93,100,2.81,83,0.93,100,2.81,97,9,100,0,100
9,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-isr.vercel.app/about,https://render-strategy-demo-next-app-isr.vercel.app/about,2025-06-10T10:07:22.798Z,0.92,100,2.87,81,0.92,100,2.87,96,26,100,0,100
10,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-isr.vercel.app/about,https://render-strategy-demo-next-app-isr.vercel.app/about,2025-06-10T10:07:34.517Z,0.92,100,2.85,82,2.17,99,2.85,97,17,100,0,100
