Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-isr.vercel.app/blog/1,https://render-strategy-demo-next-app-isr.vercel.app/blog/1,2025-06-10T10:32:39.032Z,0.93,100,3.41,66,1.16,100,3.41,93,0,100,0,100
2,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-isr.vercel.app/blog/1,https://render-strategy-demo-next-app-isr.vercel.app/blog/1,2025-06-10T10:32:51.713Z,0.93,100,3.2,72,1.1,100,3.2,94,0,100,0,100
3,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-isr.vercel.app/blog/1,https://render-strategy-demo-next-app-isr.vercel.app/blog/1,2025-06-10T10:33:04.284Z,0.93,100,2.77,84,2.24,99,2.78,97,15,100,0,100
4,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-isr.vercel.app/blog/1,https://render-strategy-demo-next-app-isr.vercel.app/blog/1,2025-06-10T10:33:16.704Z,1.11,99,1.94,97,2.75,96,1.99,99,14,100,0,100
5,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-isr.vercel.app/blog/1,https://render-strategy-demo-next-app-isr.vercel.app/blog/1,2025-06-10T10:33:29.074Z,0.92,100,2.61,87,2.22,99,2.62,98,16,100,0,100
6,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-isr.vercel.app/blog/1,https://render-strategy-demo-next-app-isr.vercel.app/blog/1,2025-06-10T10:33:40.981Z,0.93,100,2.99,78,1,100,2.99,96,34,100,0,100
7,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-isr.vercel.app/blog/1,https://render-strategy-demo-next-app-isr.vercel.app/blog/1,2025-06-10T10:33:52.769Z,0.94,100,3.03,77,1.01,100,3.03,95,35,100,0,100
8,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-isr.vercel.app/blog/1,https://render-strategy-demo-next-app-isr.vercel.app/blog/1,2025-06-10T10:34:05.302Z,1.11,99,2.9,81,2.95,94,2.9,96,68,99,0,100
9,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-isr.vercel.app/blog/1,https://render-strategy-demo-next-app-isr.vercel.app/blog/1,2025-06-10T10:34:18.536Z,1.11,99,2.79,83,4.09,79,2.8,97,35,100,0,100
10,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-isr.vercel.app/blog/1,https://render-strategy-demo-next-app-isr.vercel.app/blog/1,2025-06-10T10:34:30.408Z,0.92,100,3.01,78,0.99,100,3.01,96,32,100,0,100
