Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,2025-06-10T09:33:57.935Z,0.99,100,2.87,81,1.02,100,2.87,96,13,100,0,100
2,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,2025-06-10T09:34:12.789Z,1.04,100,2.55,88,2.31,99,2.58,98,13,100,0,100
3,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,2025-06-10T09:34:27.395Z,0.99,100,2.72,85,2.24,99,2.74,97,11,100,0,100
4,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,2025-06-10T09:34:42.926Z,1.17,99,2.94,79,3.05,93,2.94,96,10,100,0,100
5,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,2025-06-10T09:34:57.749Z,0.99,100,2.61,87,2.25,99,2.62,98,9,100,0,100
6,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,2025-06-10T09:35:12.953Z,1,100,2.72,85,2.21,99,2.74,97,1,100,0,100
7,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,2025-06-10T09:35:27.370Z,1.03,100,2.62,87,2.3,99,2.63,98,56,100,0,100
8,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,2025-06-10T09:35:41.822Z,0.99,100,2.61,87,2.25,99,2.62,98,10,100,0,100
9,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,2025-06-10T09:35:57.193Z,1.04,100,2.62,87,2.31,99,2.63,98,67,99,0,100
10,"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,2025-06-10T09:36:13.293Z,1.01,100,2.61,87,2.29,99,2.62,98,4,100,0,100
