Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-isr.vercel.app/about,https://render-strategy-demo-nuxt-app-isr.vercel.app/about,2025-06-10T10:07:46.060Z,1.66,93,2.59,88,1.66,100,2.59,98,0,100,0.1,89
2,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-isr.vercel.app/about,https://render-strategy-demo-nuxt-app-isr.vercel.app/about,2025-06-10T10:07:57.731Z,2.6,64,2.6,88,2.87,95,2.6,98,0,100,0,100
3,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-isr.vercel.app/about,https://render-strategy-demo-nuxt-app-isr.vercel.app/about,2025-06-10T10:08:09.819Z,2.58,64,2.58,88,2.83,95,2.58,98,0,100,0,100
4,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-isr.vercel.app/about,https://render-strategy-demo-nuxt-app-isr.vercel.app/about,2025-06-10T10:08:22.015Z,2.59,64,2.59,88,2.86,95,2.59,98,0,100,0,100
5,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-isr.vercel.app/about,https://render-strategy-demo-nuxt-app-isr.vercel.app/about,2025-06-10T10:08:33.830Z,2.58,64,2.58,88,2.84,95,2.58,98,0,100,0,100
6,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-isr.vercel.app/about,https://render-strategy-demo-nuxt-app-isr.vercel.app/about,2025-06-10T10:08:45.291Z,2.59,64,2.59,88,2.85,95,2.59,98,0,100,0,100
7,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-isr.vercel.app/about,https://render-strategy-demo-nuxt-app-isr.vercel.app/about,2025-06-10T10:08:56.673Z,2.59,64,2.59,88,2.83,95,2.59,98,0,100,0,100
8,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-isr.vercel.app/about,https://render-strategy-demo-nuxt-app-isr.vercel.app/about,2025-06-10T10:09:08.216Z,2.58,64,2.58,88,2.83,95,2.58,98,0,100,0,100
9,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-isr.vercel.app/about,https://render-strategy-demo-nuxt-app-isr.vercel.app/about,2025-06-10T10:09:19.732Z,2.58,64,2.58,88,2.85,95,2.58,98,0,100,0,100
10,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-isr.vercel.app/about,https://render-strategy-demo-nuxt-app-isr.vercel.app/about,2025-06-10T10:09:31.177Z,2.59,64,2.59,88,2.9,95,2.59,98,0,100,0,100
