Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog/1,2025-06-10T10:34:41.890Z,2.76,58,2.76,84,3.08,93,2.76,97,0,100,0,100
2,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog/1,2025-06-10T10:34:54.442Z,2.75,58,2.75,84,3.02,94,2.75,97,0,100,0,100
3,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog/1,2025-06-10T10:35:07.163Z,2.77,58,2.77,84,3.04,93,2.77,97,0,100,0,100
4,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog/1,2025-06-10T10:35:20.810Z,2.76,58,2.76,84,4.35,75,2.76,97,0,100,0,100
5,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog/1,2025-06-10T10:35:35.504Z,2.76,58,2.76,84,3.03,94,2.76,97,0,100,0,100
6,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog/1,2025-06-10T10:35:46.620Z,2.75,58,2.75,84,2.94,94,2.75,97,0,100,0,100
7,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog/1,2025-06-10T10:35:57.535Z,2.74,58,2.74,84,2.94,94,2.74,97,0,100,0,100
8,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog/1,2025-06-10T10:36:08.387Z,2.76,58,2.76,84,3.04,94,2.76,97,0,100,0.001,100
9,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog/1,2025-06-10T10:36:19.439Z,2.74,58,2.74,84,2.92,95,2.74,97,0,100,0,100
10,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog/1,2025-06-10T10:36:30.748Z,2.76,58,2.76,84,2.98,94,2.76,97,0,100,0,100
