Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,2025-06-10T09:36:30.409Z,2.75,58,2.75,84,4.35,75,2.75,97,0,100,0,100
2,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,2025-06-10T09:36:49.065Z,2.77,57,2.77,84,4.35,75,2.77,97,0,100,0,100
3,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,2025-06-10T09:37:07.762Z,2.74,58,2.74,84,4.41,74,2.74,97,0,100,0,100
4,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,2025-06-10T09:37:25.903Z,2.78,57,2.78,83,4.38,74,2.78,97,0,100,0,100
5,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,2025-06-10T09:37:44.419Z,2.76,58,2.76,84,4.34,75,2.76,97,0,100,0,100
6,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,2025-06-10T09:38:02.679Z,2.78,57,2.78,83,4.34,75,2.78,97,0,100,0,100
7,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,2025-06-10T09:38:20.183Z,2.77,57,2.77,84,3.04,93,2.77,97,0,100,0,100
8,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,2025-06-10T09:38:37.504Z,2.78,57,2.78,84,3,94,2.78,97,0,100,0,100
9,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,2025-06-10T09:38:55.865Z,2.76,58,2.76,84,4.34,75,2.76,97,0,100,0,100
10,"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,2025-06-10T09:39:13.330Z,2.76,58,2.76,84,2.94,94,2.76,97,0,100,0,100
