Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app-rho.vercel.app/about,https://render-strategy-demo-sveltekit-app-rho.vercel.app/about,2025-06-10T10:09:42.403Z,2.58,64,2.97,79,3.02,94,2.97,96,0,100,0,100
2,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app-rho.vercel.app/about,https://render-strategy-demo-sveltekit-app-rho.vercel.app/about,2025-06-10T10:09:54.291Z,2.58,64,2.98,78,2.87,95,2.98,96,0,100,0,100
3,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app-rho.vercel.app/about,https://render-strategy-demo-sveltekit-app-rho.vercel.app/about,2025-06-10T10:10:05.912Z,2.58,64,2.96,79,2.86,95,2.96,96,0,100,0,100
4,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app-rho.vercel.app/about,https://render-strategy-demo-sveltekit-app-rho.vercel.app/about,2025-06-10T10:10:18.566Z,2.59,64,3.13,74,2.84,95,3.13,95,0,100,0,100
5,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app-rho.vercel.app/about,https://render-strategy-demo-sveltekit-app-rho.vercel.app/about,2025-06-10T10:10:30.444Z,2.59,64,3.04,77,2.84,95,3.04,95,0,100,0,100
6,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app-rho.vercel.app/about,https://render-strategy-demo-sveltekit-app-rho.vercel.app/about,2025-06-10T10:10:42.486Z,2.58,64,3.01,77,2.83,95,3.01,96,0,100,0,100
7,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app-rho.vercel.app/about,https://render-strategy-demo-sveltekit-app-rho.vercel.app/about,2025-06-10T10:10:55.038Z,2.59,64,3,78,2.86,95,3,96,0,100,0,100
8,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app-rho.vercel.app/about,https://render-strategy-demo-sveltekit-app-rho.vercel.app/about,2025-06-10T10:11:07.835Z,2.58,64,3.04,77,4.27,76,3.04,95,0,100,0,100
9,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app-rho.vercel.app/about,https://render-strategy-demo-sveltekit-app-rho.vercel.app/about,2025-06-10T10:11:20.110Z,2.58,64,3.23,72,2.83,95,3.23,94,0,100,0,100
10,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app-rho.vercel.app/about,https://render-strategy-demo-sveltekit-app-rho.vercel.app/about,2025-06-10T10:11:32.246Z,2.59,64,2.92,80,2.84,95,2.92,96,0,100,0,100
