Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog/1,2025-06-10T10:36:42.764Z,1.67,93,4.15,46,2.4,98,4.15,86,0,100,0.001,100
2,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog/1,2025-06-10T10:36:55.536Z,2.63,63,3.95,51,3.48,88,3.95,88,0,100,0,100
3,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog/1,2025-06-10T10:37:06.744Z,1.65,93,2.97,79,1.67,100,2.97,96,0,100,0.001,100
4,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog/1,2025-06-10T10:37:18.370Z,2.59,64,2.99,78,3.03,94,2.99,96,0,100,0,100
5,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog/1,2025-06-10T10:37:29.914Z,2.62,63,3,78,3.03,94,3,96,0,100,0,100
6,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog/1,2025-06-10T10:37:41.254Z,2.59,64,2.99,78,3.02,94,2.99,96,0,100,0,100
7,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog/1,2025-06-10T10:37:52.425Z,2.58,64,3.31,69,3.12,93,3.31,94,0,100,0,100
8,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog/1,2025-06-10T10:38:05.028Z,2.59,64,3.02,77,3.47,88,3.02,96,0,100,0,100
9,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog/1,2025-06-10T10:38:16.847Z,2.58,64,3.06,76,3.07,93,3.06,95,0,100,0,100
10,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog/1,2025-06-10T10:38:29.053Z,2.6,64,3.07,76,3.05,93,3.07,95,0,100,0,100
