Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog,2025-06-10T09:39:24.438Z,2.58,64,2.86,81,3.06,93,2.86,96,0,100,0,100
2,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog,2025-06-10T09:39:39.671Z,2.6,63,2.75,84,4.29,76,2.75,97,0,100,0,100
3,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog,2025-06-10T09:39:53.905Z,2.58,64,2.82,82,3.07,93,2.82,97,0,100,0,100
4,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog,2025-06-10T09:40:07.479Z,2.61,63,2.82,82,3.06,93,2.82,97,0,100,0,100
5,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog,2025-06-10T09:40:20.878Z,2.6,64,3.05,76,3.05,93,3.05,95,0,100,0,100
6,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog,2025-06-10T09:40:33.982Z,2.59,64,2.83,82,3.02,94,2.83,97,0,100,0,100
7,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog,2025-06-10T09:40:48.458Z,2.6,64,2.75,84,4.29,76,2.75,97,0,100,0,100
8,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog,2025-06-10T09:41:03.523Z,2.59,64,2.87,81,3.07,93,2.87,96,0,100,0,100
9,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog,2025-06-10T09:41:17.218Z,2.59,64,2.74,84,2.99,94,2.74,97,0,100,0,100
10,"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog,2025-06-10T09:41:31.845Z,2.59,64,2.74,84,4.26,76,2.74,97,0,100,0,100
