Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-ssg.vercel.app/about,https://render-strategy-demo-next-app-ssg.vercel.app/about/,2025-06-10T09:59:55.780Z,0.92,100,2.83,82,0.92,100,2.83,97,16,100,0,100
2,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-ssg.vercel.app/about,https://render-strategy-demo-next-app-ssg.vercel.app/about/,2025-06-10T10:00:06.921Z,0.92,100,2.83,82,0.92,100,2.83,97,9,100,0,100
3,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-ssg.vercel.app/about,https://render-strategy-demo-next-app-ssg.vercel.app/about/,2025-06-10T10:00:17.627Z,0.92,100,2.73,85,0.92,100,2.73,97,6,100,0,100
4,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-ssg.vercel.app/about,https://render-strategy-demo-next-app-ssg.vercel.app/about/,2025-06-10T10:00:28.561Z,0.92,100,2.82,83,0.92,100,2.82,97,5,100,0,100
5,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-ssg.vercel.app/about,https://render-strategy-demo-next-app-ssg.vercel.app/about/,2025-06-10T10:00:41.074Z,0.92,100,2.95,79,0.92,100,2.95,96,15,100,0,100
6,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-ssg.vercel.app/about,https://render-strategy-demo-next-app-ssg.vercel.app/about/,2025-06-10T10:00:55.400Z,0.92,100,2.86,81,0.92,100,2.86,96,36,100,0,100
7,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-ssg.vercel.app/about,https://render-strategy-demo-next-app-ssg.vercel.app/about/,2025-06-10T10:01:06.671Z,0.91,100,2.98,78,2.21,99,2.98,96,23,100,0,100
8,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-ssg.vercel.app/about,https://render-strategy-demo-next-app-ssg.vercel.app/about/,2025-06-10T10:01:17.544Z,0.92,100,2.85,82,0.92,100,2.85,97,4,100,0,100
9,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-ssg.vercel.app/about,https://render-strategy-demo-next-app-ssg.vercel.app/about/,2025-06-10T10:01:28.396Z,0.92,100,2.87,81,0.92,100,2.87,96,0,100,0,100
10,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-ssg.vercel.app/about,https://render-strategy-demo-next-app-ssg.vercel.app/about/,2025-06-10T10:01:39.868Z,0.94,100,2.87,81,0.94,100,2.87,96,0,100,0,100
