Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-ssg.vercel.app/blog/1,https://render-strategy-demo-next-app-ssg.vercel.app/blog/1/,2025-06-10T10:26:50.935Z,0.92,100,2.97,79,1.31,100,2.97,96,10,100,0,100
2,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-ssg.vercel.app/blog/1,https://render-strategy-demo-next-app-ssg.vercel.app/blog/1/,2025-06-10T10:27:01.348Z,0.91,100,2.94,79,0.91,100,2.95,96,0,100,0,100
3,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-ssg.vercel.app/blog/1,https://render-strategy-demo-next-app-ssg.vercel.app/blog/1/,2025-06-10T10:27:11.822Z,0.92,100,2.99,78,0.92,100,2.99,96,0,100,0,100
4,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-ssg.vercel.app/blog/1,https://render-strategy-demo-next-app-ssg.vercel.app/blog/1/,2025-06-10T10:27:22.432Z,0.92,100,3.29,70,1.04,100,3.29,94,0,100,0,100
5,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-ssg.vercel.app/blog/1,https://render-strategy-demo-next-app-ssg.vercel.app/blog/1/,2025-06-10T10:27:33.022Z,0.92,100,3.01,78,0.93,100,3.01,96,0,100,0,100
6,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-ssg.vercel.app/blog/1,https://render-strategy-demo-next-app-ssg.vercel.app/blog/1/,2025-06-10T10:27:43.533Z,0.92,100,3.02,77,0.92,100,3.02,96,0,100,0,100
7,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-ssg.vercel.app/blog/1,https://render-strategy-demo-next-app-ssg.vercel.app/blog/1/,2025-06-10T10:27:54.061Z,0.92,100,3.08,76,1,100,3.08,95,0,100,0,100
8,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-ssg.vercel.app/blog/1,https://render-strategy-demo-next-app-ssg.vercel.app/blog/1/,2025-06-10T10:28:04.906Z,0.92,100,3.16,74,1,100,3.16,95,8,100,0,100
9,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-ssg.vercel.app/blog/1,https://render-strategy-demo-next-app-ssg.vercel.app/blog/1/,2025-06-10T10:28:15.874Z,0.93,100,3.04,77,0.93,100,3.04,95,0,100,0,100
10,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-ssg.vercel.app/blog/1,https://render-strategy-demo-next-app-ssg.vercel.app/blog/1/,2025-06-10T10:28:27.418Z,1.09,99,2.87,81,2.85,95,2.87,96,0,100,0,100
