Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog/,2025-06-10T09:26:25.993Z,0.96,100,2.53,89,2.36,98,2.54,98,7,100,0,100
2,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog/,2025-06-10T09:26:41.695Z,0.99,100,2.63,87,2.32,98,2.64,98,40,100,0,100
3,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog/,2025-06-10T09:26:57.135Z,0.97,100,2.91,80,1.09,100,2.91,96,16,100,0,100
4,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog/,2025-06-10T09:27:12.602Z,0.97,100,2.6,88,2.33,98,2.61,98,7,100,0,100
5,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog/,2025-06-10T09:27:27.076Z,0.97,100,2.6,88,2.26,99,2.65,97,4,100,0,100
6,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog/,2025-06-10T09:27:40.524Z,0.97,100,2.87,81,1.03,100,2.87,96,7,100,0,100
7,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog/,2025-06-10T09:27:55.783Z,0.98,100,2.66,86,2.25,99,2.68,97,0,100,0,100
8,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog/,2025-06-10T09:28:09.589Z,0.97,100,2.87,81,1.02,100,2.87,96,29,100,0,100
9,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog/,2025-06-10T09:28:22.953Z,0.96,100,2.86,81,1,100,2.86,96,10,100,0,100
10,"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog/,2025-06-10T09:28:39.166Z,0.98,100,2.61,87,2.27,99,2.62,98,11,100,0,100
