Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-ssg.vercel.app/about,https://render-strategy-demo-nuxt-app-ssg.vercel.app/about,2025-06-10T10:01:51.653Z,2.66,61,3.01,77,4.32,75,3.01,96,0,100,0,100
2,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-ssg.vercel.app/about,https://render-strategy-demo-nuxt-app-ssg.vercel.app/about,2025-06-10T10:02:02.923Z,2.58,64,3.08,76,2.87,95,3.08,95,0,100,0,100
3,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-ssg.vercel.app/about,https://render-strategy-demo-nuxt-app-ssg.vercel.app/about,2025-06-10T10:02:14.196Z,2.59,64,3.02,77,2.86,95,3.02,96,0,100,0,100
4,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-ssg.vercel.app/about,https://render-strategy-demo-nuxt-app-ssg.vercel.app/about,2025-06-10T10:02:25.551Z,2.64,62,3.04,77,2.89,95,3.04,95,0,100,0,100
5,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-ssg.vercel.app/about,https://render-strategy-demo-nuxt-app-ssg.vercel.app/about,2025-06-10T10:02:37.165Z,2.6,64,2.99,78,2.91,95,2.99,96,0,100,0,100
6,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-ssg.vercel.app/about,https://render-strategy-demo-nuxt-app-ssg.vercel.app/about,2025-06-10T10:02:48.333Z,2.61,63,2.99,78,2.87,95,2.99,96,0,100,0,100
7,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-ssg.vercel.app/about,https://render-strategy-demo-nuxt-app-ssg.vercel.app/about,2025-06-10T10:02:59.534Z,2.59,64,3.08,76,2.82,96,3.08,95,0,100,0,100
8,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-ssg.vercel.app/about,https://render-strategy-demo-nuxt-app-ssg.vercel.app/about,2025-06-10T10:03:10.979Z,2.64,62,3.24,71,2.93,95,3.24,94,0,100,0,100
9,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-ssg.vercel.app/about,https://render-strategy-demo-nuxt-app-ssg.vercel.app/about,2025-06-10T10:03:22.316Z,2.59,64,2.98,78,2.85,95,2.98,96,0,100,0,100
10,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-ssg.vercel.app/about,https://render-strategy-demo-nuxt-app-ssg.vercel.app/about,2025-06-10T10:03:33.513Z,2.6,64,2.93,80,2.84,95,2.93,96,0,100,0,100
