Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog/1,2025-06-10T10:28:37.354Z,2.75,58,3.23,72,3.05,93,3.23,94,0,100,0,100
2,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog/1,2025-06-10T10:28:49.274Z,2.76,58,3.18,73,3.11,93,3.18,94,0,100,0,100
3,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog/1,2025-06-10T10:29:00.802Z,2.75,58,3.21,72,3.09,93,3.21,94,0,100,0,100
4,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog/1,2025-06-10T10:29:12.870Z,2.75,58,3.21,72,3.11,93,3.21,94,0,100,0,100
5,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog/1,2025-06-10T10:29:39.629Z,2.76,58,3.19,73,3.1,93,3.19,94,0,100,0,100
6,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog/1,2025-06-10T10:29:51.292Z,2.76,58,3.17,73,3.08,93,3.17,95,0,100,0,100
7,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog/1,2025-06-10T10:30:03.602Z,1.82,89,3.19,73,2.81,96,3.19,94,0,100,0.001,100
8,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog/1,2025-06-10T10:30:15.535Z,2.74,58,3.19,73,3.08,93,3.19,94,0,100,0,100
9,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog/1,2025-06-10T10:30:27.205Z,2.74,59,3.17,73,3.09,93,3.17,95,0,100,0,100
10,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog/1,2025-06-10T10:30:38.450Z,2.74,58,3.15,74,3.07,93,3.15,95,0,100,0,100
