Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,2025-06-10T09:28:55.872Z,2.74,58,2.89,81,4.34,75,2.89,96,0,100,0,100
2,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,2025-06-10T09:29:13.332Z,2.74,58,2.89,81,3.12,93,2.89,96,0,100,0,100
3,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,2025-06-10T09:29:32.054Z,2.75,58,3.34,68,3.31,90,3.34,93,0,100,0,100
4,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,2025-06-10T09:29:49.772Z,2.76,58,2.91,80,3.11,93,2.91,96,0,100,0,100
5,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,2025-06-10T09:30:08.013Z,2.74,58,3.53,63,3.39,89,3.53,92,0,100,0,100
6,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,2025-06-10T09:30:26.589Z,2.76,58,2.91,80,4.34,75,2.91,96,0,100,0,100
7,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,2025-06-10T09:30:45.164Z,2.75,58,2.9,81,4.32,75,2.9,96,0,100,0,100
8,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,2025-06-10T09:31:03.422Z,2.76,58,3.19,73,3.21,92,3.19,94,0,100,0,100
9,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,2025-06-10T09:31:21.221Z,2.75,58,3.14,74,3.08,93,3.14,95,0,100,0,100
10,"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,2025-06-10T09:31:39.078Z,2.75,58,2.99,78,3.1,93,2.99,96,0,100,0,100
