Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app-nine.vercel.app/about,https://render-strategy-demo-sveltekit-app-nine.vercel.app/about,2025-06-10T10:03:42.784Z,2.63,62,3.03,77,2.91,95,3.03,95,0,100,0,100
2,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app-nine.vercel.app/about,https://render-strategy-demo-sveltekit-app-nine.vercel.app/about,2025-06-10T10:03:53.927Z,2.59,64,2.93,80,2.91,95,2.93,96,0,100,0,100
3,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app-nine.vercel.app/about,https://render-strategy-demo-sveltekit-app-nine.vercel.app/about,2025-06-10T10:04:05.734Z,2.65,62,3.3,70,2.93,95,3.3,94,0,100,0,100
4,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app-nine.vercel.app/about,https://render-strategy-demo-sveltekit-app-nine.vercel.app/about,2025-06-10T10:04:17.037Z,2.59,64,3.37,67,2.86,95,3.37,93,0,100,0,100
5,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app-nine.vercel.app/about,https://render-strategy-demo-sveltekit-app-nine.vercel.app/about,2025-06-10T10:04:28.798Z,2.58,64,3.19,73,2.83,95,3.19,94,0,100,0,100
6,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app-nine.vercel.app/about,https://render-strategy-demo-sveltekit-app-nine.vercel.app/about,2025-06-10T10:04:43.439Z,2.6,63,3.01,78,2.89,95,3.01,96,0,100,0,100
7,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app-nine.vercel.app/about,https://render-strategy-demo-sveltekit-app-nine.vercel.app/about,2025-06-10T10:04:56.775Z,2.61,63,2.95,79,2.88,95,2.95,96,0,100,0,100
8,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app-nine.vercel.app/about,https://render-strategy-demo-sveltekit-app-nine.vercel.app/about,2025-06-10T10:05:10.637Z,2.59,64,2.99,78,2.86,95,2.99,96,0,100,0,100
9,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app-nine.vercel.app/about,https://render-strategy-demo-sveltekit-app-nine.vercel.app/about,2025-06-10T10:05:23.404Z,2.59,64,2.95,79,2.86,95,2.95,96,0,100,0,100
10,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app-nine.vercel.app/about,https://render-strategy-demo-sveltekit-app-nine.vercel.app/about,2025-06-10T10:05:37.719Z,2.6,63,3.17,73,4.28,76,3.17,95,0,100,0,100
