Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog/1,2025-06-10T10:30:48.188Z,2.59,64,3,78,3.04,94,3,96,0,100,0,100
2,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog/1,2025-06-10T10:30:59.653Z,2.58,64,2.99,78,3,94,2.99,96,0,100,0,100
3,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog/1,2025-06-10T10:31:10.966Z,2.59,64,2.99,78,3.03,94,2.99,96,0,100,0,100
4,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog/1,2025-06-10T10:31:21.989Z,2.58,64,3.05,76,2.85,95,3.05,95,0,100,0.001,100
5,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog/1,2025-06-10T10:31:33.505Z,2.58,64,2.98,78,3.01,94,2.98,96,0,100,0,100
6,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog/1,2025-06-10T10:31:44.668Z,2.6,63,3.01,77,3.09,93,3.01,96,0,100,0,100
7,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog/1,2025-06-10T10:31:55.799Z,2.58,64,3.06,76,3.05,93,3.06,95,0,100,0,100
8,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog/1,2025-06-10T10:32:07.306Z,2.58,64,3.01,78,3.02,94,3.01,96,0,100,0,100
9,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog/1,2025-06-10T10:32:18.435Z,2.59,64,2.99,78,2.99,94,2.99,96,0,100,0,100
10,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog/1,2025-06-10T10:32:29.664Z,2.63,63,3.04,77,3.07,93,3.04,95,0,100,0,100
