Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,2025-06-10T09:31:50.886Z,2.6,63,2.75,84,4.48,73,2.75,97,0,100,0,100
2,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,2025-06-10T09:32:03.309Z,2.61,63,2.83,82,3.04,93,2.83,97,0,100,0,100
3,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,2025-06-10T09:32:15.690Z,2.6,63,2.81,83,3.04,93,2.81,97,0,100,0,100
4,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,2025-06-10T09:32:28.272Z,2.66,61,2.81,83,3.05,93,2.81,97,0,100,0,100
5,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,2025-06-10T09:32:40.686Z,2.59,64,2.83,82,3.05,93,2.83,97,0,100,0,100
6,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,2025-06-10T09:32:53.390Z,2.61,63,3.04,77,3.1,93,3.04,95,0,100,0,100
7,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,2025-06-10T09:33:05.815Z,2.62,63,2.82,83,3.04,93,2.82,97,0,100,0,100
8,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,2025-06-10T09:33:18.630Z,2.62,63,2.87,81,3.09,93,2.87,96,0,100,0,100
9,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,2025-06-10T09:33:32.042Z,2.62,63,2.77,84,3.07,93,2.77,97,0,100,0,100
10,"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,2025-06-10T09:33:44.943Z,2.59,64,2.89,81,3.06,93,2.89,96,0,100,0,100
