Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-ssr.vercel.app/about,https://render-strategy-demo-next-app-ssr.vercel.app/about,2025-06-10T09:54:03.338Z,0.93,100,2.87,81,2.45,98,2.87,96,13,100,0,100
2,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-ssr.vercel.app/about,https://render-strategy-demo-next-app-ssr.vercel.app/about,2025-06-10T09:54:15.981Z,0.97,100,2.89,81,2.4,98,2.89,96,9,100,0,100
3,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-ssr.vercel.app/about,https://render-strategy-demo-next-app-ssr.vercel.app/about,2025-06-10T09:54:28.007Z,0.92,100,2.92,80,1.05,100,2.92,96,14,100,0,100
4,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-ssr.vercel.app/about,https://render-strategy-demo-next-app-ssr.vercel.app/about,2025-06-10T09:54:40.469Z,0.93,100,2.89,81,2.39,98,2.89,96,7,100,0,100
5,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-ssr.vercel.app/about,https://render-strategy-demo-next-app-ssr.vercel.app/about,2025-06-10T09:54:52.172Z,0.94,100,2.88,81,1.13,100,2.88,96,13,100,0,100
6,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-ssr.vercel.app/about,https://render-strategy-demo-next-app-ssr.vercel.app/about,2025-06-10T09:55:04.759Z,0.92,100,2.93,80,2.43,98,2.93,96,21,100,0,100
7,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-ssr.vercel.app/about,https://render-strategy-demo-next-app-ssr.vercel.app/about,2025-06-10T09:55:18.241Z,1.36,98,2.85,82,4.36,75,2.85,97,8,100,0,100
8,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-ssr.vercel.app/about,https://render-strategy-demo-next-app-ssr.vercel.app/about,2025-06-10T09:55:29.744Z,0.93,100,2.85,82,1.02,100,2.85,96,9,100,0,100
9,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-ssr.vercel.app/about,https://render-strategy-demo-next-app-ssr.vercel.app/about,2025-06-10T09:55:40.757Z,0.92,100,2.82,82,0.99,100,2.82,97,7,100,0,100
10,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-ssr.vercel.app/about,https://render-strategy-demo-next-app-ssr.vercel.app/about,2025-06-10T09:55:52.162Z,0.94,100,3.03,77,1.21,100,3.03,95,6,100,0,100
