Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-ssr.vercel.app/blog/1,https://render-strategy-demo-next-app-ssr.vercel.app/blog/1,2025-06-10T10:20:59.850Z,0.92,100,3,78,1.28,100,3,96,7,100,0,100
2,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-ssr.vercel.app/blog/1,https://render-strategy-demo-next-app-ssr.vercel.app/blog/1,2025-06-10T10:21:12.707Z,0.94,100,3.04,77,1.27,100,3.04,95,30,100,0,100
3,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-ssr.vercel.app/blog/1,https://render-strategy-demo-next-app-ssr.vercel.app/blog/1,2025-06-10T10:21:24.535Z,0.93,100,2.94,80,1.25,100,2.94,96,11,100,0,100
4,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-ssr.vercel.app/blog/1,https://render-strategy-demo-next-app-ssr.vercel.app/blog/1,2025-06-10T10:21:35.555Z,0.92,100,2.98,78,1.11,100,2.98,96,0,100,0,100
5,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-ssr.vercel.app/blog/1,https://render-strategy-demo-next-app-ssr.vercel.app/blog/1,2025-06-10T10:21:46.787Z,0.92,100,3.12,75,1.22,100,3.12,95,0,100,0,100
6,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-ssr.vercel.app/blog/1,https://render-strategy-demo-next-app-ssr.vercel.app/blog/1,2025-06-10T10:21:58.290Z,0.93,100,3,78,1.13,100,3,96,1,100,0,100
7,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-ssr.vercel.app/blog/1,https://render-strategy-demo-next-app-ssr.vercel.app/blog/1,2025-06-10T10:22:10.034Z,0.94,100,2.55,88,2.44,98,2.57,98,5,100,0,100
8,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-ssr.vercel.app/blog/1,https://render-strategy-demo-next-app-ssr.vercel.app/blog/1,2025-06-10T10:22:21.412Z,0.92,100,3.03,77,1.17,100,3.03,96,0,100,0,100
9,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-ssr.vercel.app/blog/1,https://render-strategy-demo-next-app-ssr.vercel.app/blog/1,2025-06-10T10:22:33.338Z,0.95,100,2.88,81,1.22,100,2.88,96,63,100,0,100
10,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-ssr.vercel.app/blog/1,https://render-strategy-demo-next-app-ssr.vercel.app/blog/1,2025-06-10T10:22:45.488Z,0.93,100,3.06,76,1.26,100,3.06,95,0,100,0,100
