Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,2025-06-10T09:17:34.884Z,0.96,100,3.12,75,1.9,100,3.12,95,0,100,0,100
2,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,2025-06-10T09:17:50.785Z,0.97,100,2.84,82,1.58,100,2.84,97,0,100,0,100
3,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,2025-06-10T09:18:06.594Z,0.99,100,3.04,77,1.68,100,3.04,95,2,100,0,100
4,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,2025-06-10T09:18:22.429Z,1.01,100,2.76,84,1.65,100,2.76,97,18,100,0,100
5,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,2025-06-10T09:18:38.109Z,1.02,100,3.12,75,1.64,100,3.12,95,0,100,0,100
6,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,2025-06-10T09:18:52.559Z,0.99,100,2.99,78,1.5,100,2.99,96,1,100,0,100
7,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,2025-06-10T09:19:06.935Z,0.99,100,2.88,81,1.57,100,2.88,96,0,100,0,100
8,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,2025-06-10T09:19:25.149Z,1.02,100,6,13,2.9,95,6,64,0,100,0,100
9,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,2025-06-10T09:19:39.524Z,0.99,100,2.99,78,1.54,100,2.99,96,0,100,0,100
10,"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,2025-06-10T09:20:09.142Z,0.96,100,2.98,78,1.52,100,2.98,96,0,100,0,100
