Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-ssr.vercel.app/about,https://render-strategy-demo-nuxt-app-ssr.vercel.app/about,2025-06-10T09:56:03.219Z,2.6,64,2.6,88,3.08,93,2.6,98,0,100,0,100
2,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-ssr.vercel.app/about,https://render-strategy-demo-nuxt-app-ssr.vercel.app/about,2025-06-10T09:56:14.872Z,2.63,63,2.63,87,3.07,93,2.63,98,0,100,0,100
3,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-ssr.vercel.app/about,https://render-strategy-demo-nuxt-app-ssr.vercel.app/about,2025-06-10T09:56:26.414Z,2.69,60,2.69,85,3.14,92,2.69,97,0,100,0,100
4,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-ssr.vercel.app/about,https://render-strategy-demo-nuxt-app-ssr.vercel.app/about,2025-06-10T09:56:38.298Z,2.61,63,2.61,87,3.05,93,2.61,98,0,100,0,100
5,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-ssr.vercel.app/about,https://render-strategy-demo-nuxt-app-ssr.vercel.app/about,2025-06-10T09:56:49.920Z,2.62,63,2.62,87,3,94,2.62,98,0,100,0,100
6,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-ssr.vercel.app/about,https://render-strategy-demo-nuxt-app-ssr.vercel.app/about,2025-06-10T09:57:02.167Z,1.66,93,1.81,98,3.01,94,1.82,100,0,100,0.002,100
7,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-ssr.vercel.app/about,https://render-strategy-demo-nuxt-app-ssr.vercel.app/about,2025-06-10T09:57:13.694Z,2.62,63,2.62,87,3.02,94,2.62,98,0,100,0,100
8,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-ssr.vercel.app/about,https://render-strategy-demo-nuxt-app-ssr.vercel.app/about,2025-06-10T09:57:25.383Z,2.63,62,2.63,87,3.18,92,2.63,98,0,100,0,100
9,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-ssr.vercel.app/about,https://render-strategy-demo-nuxt-app-ssr.vercel.app/about,2025-06-10T09:57:37.155Z,2.63,62,2.63,87,3.05,93,2.63,98,0,100,0,100
10,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-ssr.vercel.app/about,https://render-strategy-demo-nuxt-app-ssr.vercel.app/about,2025-06-10T09:57:48.707Z,2.6,64,2.6,88,3.01,94,2.6,98,0,100,0,100
