Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog/1,2025-06-10T10:22:57.922Z,2.78,57,2.78,83,3.55,87,2.78,97,0,100,0,100
2,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog/1,2025-06-10T10:23:09.434Z,2.82,56,2.82,82,3.26,91,2.82,97,0,100,0,100
3,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog/1,2025-06-10T10:23:21.200Z,2.74,59,2.74,84,3.15,92,2.74,97,0,100,0,100
4,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog/1,2025-06-10T10:23:32.235Z,1.82,89,2.75,84,1.82,100,2.75,97,0,100,0.001,100
5,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog/1,2025-06-10T10:23:45.335Z,2.75,58,2.75,84,3.27,91,2.75,97,0,100,0,100
6,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog/1,2025-06-10T10:23:56.777Z,2.82,56,2.82,82,3.2,92,2.82,97,0,100,0,100
7,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog/1,2025-06-10T10:24:08.582Z,2.76,58,2.76,84,3.19,92,2.76,97,0,100,0,100
8,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog/1,2025-06-10T10:24:19.905Z,2.74,58,2.74,84,3.11,93,2.74,97,0,100,0,100
9,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog/1,2025-06-10T10:24:31.380Z,2.74,59,2.74,84,3.23,91,2.74,97,0,100,0,100
10,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog/1,2025-06-10T10:24:43.200Z,2.75,58,2.75,84,3.18,92,2.75,97,0,100,0,100
