Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,2025-06-10T09:20:25.946Z,1.87,88,2.83,82,2.08,99,2.83,97,0,100,0.029,100
2,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,2025-06-10T09:20:43.087Z,1.94,86,2.88,81,1.94,100,2.88,96,0,100,0.029,100
3,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,2025-06-10T09:21:00.694Z,1.84,88,2.78,83,2.1,99,2.78,97,0,100,0.029,100
4,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,2025-06-10T09:21:18.457Z,1.83,89,2.77,84,1.93,100,2.77,97,0,100,0.029,100
5,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,2025-06-10T09:21:37.287Z,1.82,89,2.75,84,3.63,86,2.75,97,0,100,0.029,100
6,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,2025-06-10T09:21:54.901Z,1.85,88,2.8,83,1.92,100,2.8,97,0,100,0.029,100
7,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,2025-06-10T09:22:13.769Z,1.88,88,2.82,82,2.2,99,2.82,97,0,100,0.029,100
8,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,2025-06-10T09:22:32.279Z,1.81,89,2.74,84,2.02,99,2.74,97,0,100,0.029,100
9,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,2025-06-10T09:22:50.151Z,1.83,89,2.75,84,1.83,100,2.75,97,0,100,0.029,100
10,"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,2025-06-10T09:23:07.164Z,1.83,89,2.76,84,1.96,99,2.76,97,0,100,0.029,100
