Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app.vercel.app/about,https://render-strategy-demo-sveltekit-app.vercel.app/about,2025-06-10T09:57:59.325Z,2.64,62,3.03,77,3.05,93,3.03,95,0,100,0,100
2,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app.vercel.app/about,https://render-strategy-demo-sveltekit-app.vercel.app/about,2025-06-10T09:58:11.125Z,2.66,61,2.96,79,3.07,93,2.96,96,0,100,0,100
3,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app.vercel.app/about,https://render-strategy-demo-sveltekit-app.vercel.app/about,2025-06-10T09:58:22.971Z,2.62,63,2.99,78,3.06,93,2.99,96,0,100,0,100
4,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app.vercel.app/about,https://render-strategy-demo-sveltekit-app.vercel.app/about,2025-06-10T09:58:35.511Z,2.61,63,3.07,76,3.05,93,3.07,95,0,100,0,100
5,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app.vercel.app/about,https://render-strategy-demo-sveltekit-app.vercel.app/about,2025-06-10T09:58:47.149Z,2.6,63,3,78,3.01,94,3,96,0,100,0,100
6,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app.vercel.app/about,https://render-strategy-demo-sveltekit-app.vercel.app/about,2025-06-10T09:58:59.318Z,2.63,62,3,78,3.06,93,3,96,0,100,0,100
7,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app.vercel.app/about,https://render-strategy-demo-sveltekit-app.vercel.app/about,2025-06-10T09:59:11.095Z,2.61,63,3.01,78,3,94,3.01,96,0,100,0,100
8,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app.vercel.app/about,https://render-strategy-demo-sveltekit-app.vercel.app/about,2025-06-10T09:59:22.880Z,2.59,64,3.08,76,2.97,94,3.08,95,0,100,0,100
9,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app.vercel.app/about,https://render-strategy-demo-sveltekit-app.vercel.app/about,2025-06-10T09:59:34.647Z,1.65,93,3.26,71,2.02,99,3.26,94,0,100,0.101,89
10,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app.vercel.app/about,https://render-strategy-demo-sveltekit-app.vercel.app/about,2025-06-10T09:59:46.535Z,2.58,64,2.97,79,3.03,94,2.97,96,0,100,0,100
