Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app.vercel.app/blog/1,2025-06-10T10:24:54.438Z,2.61,63,3.01,78,3.26,91,3.01,96,0,100,0,100
2,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app.vercel.app/blog/1,2025-06-10T10:25:06.333Z,2.58,64,2.98,78,3.22,92,2.98,96,0,100,0,100
3,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app.vercel.app/blog/1,2025-06-10T10:25:18.478Z,2.59,64,3.01,78,3.23,91,3.01,96,0,100,0,100
4,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app.vercel.app/blog/1,2025-06-10T10:25:30.303Z,2.64,62,3.01,77,3.25,91,3.01,96,0,100,0,100
5,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app.vercel.app/blog/1,2025-06-10T10:25:42.350Z,2.59,64,3.24,71,3.32,90,3.24,94,0,100,0,100
6,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app.vercel.app/blog/1,2025-06-10T10:25:54.011Z,2.6,64,3.07,76,3.19,92,3.07,95,0,100,0,100
7,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app.vercel.app/blog/1,2025-06-10T10:26:05.950Z,2.6,64,3,78,3.22,92,3,96,0,100,0,100
8,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app.vercel.app/blog/1,2025-06-10T10:26:18.111Z,2.62,63,3.1,75,3.28,91,3.1,95,0,100,0,100
9,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app.vercel.app/blog/1,2025-06-10T10:26:30.078Z,2.59,64,3.19,73,3.33,90,3.19,94,0,100,0,100
10,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app.vercel.app/blog/1,2025-06-10T10:26:41.691Z,2.58,64,3,78,3.22,92,3,96,0,100,0,100
