Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,2025-06-10T09:23:23.574Z,1.84,89,3.24,71,1.87,100,3.24,94,0,100,0.029,100
2,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,2025-06-10T09:23:41.600Z,1.83,89,3.23,71,1.88,100,3.23,94,55,100,0.029,100
3,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,2025-06-10T09:24:00.552Z,2.81,56,4.01,49,3.84,83,4.01,87,0,100,0,100
4,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,2025-06-10T09:24:18.407Z,2.76,58,2.91,80,3.3,91,2.91,96,0,100,0,100
5,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,2025-06-10T09:24:37.066Z,2.89,53,3.04,77,4.67,69,3.04,95,0,100,0,100
6,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,2025-06-10T09:24:55.799Z,2.75,58,2.9,80,4.54,72,2.9,96,0,100,0,100
7,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,2025-06-10T09:25:14.609Z,2.78,57,2.93,80,4.53,72,2.93,96,0,100,0,100
8,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,2025-06-10T09:25:32.498Z,2.75,58,3,78,3.31,91,3,96,0,100,0,100
9,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,2025-06-10T09:25:52.057Z,2.76,58,2.91,80,4.58,71,2.91,96,0,100,0,100
10,"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"Blog List",/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,2025-06-10T09:26:11.876Z,2.75,58,3.23,71,4.78,67,3.23,94,0,100,0,100
